Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,3,508,18.25181,268,19.1709,177,10x10,OPT,FALSE,equal,69.34,69.87
f.rnd,3,509,23.33615,268,22.72068,177,10x10,OPT,FALSE,equal,66.77,67.33
f.rnd,3,51,20.27514,268,20.51933,177,10x10,OPT,FALSE,equal,70.42,70.83
f.rnd,3,510,24.18664,268,23.81474,177,10x10,OPT,FALSE,equal,66.4,66.96
f.rnd,3,511,27.41351,268,26.8748,177,10x10,OPT,FALSE,equal,67.58,67.37
f.rnd,3,512,30.16403,268,29.15549,177,10x10,OPT,FALSE,equal,61.06,62.33
f.rnd,3,513,28.08524,268,27.32193,177,10x10,OPT,FALSE,equal,67.08,67.51
f.rnd,3,514,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.06,63.21
f.rnd,3,515,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.02,63.24
f.rnd,3,516,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.39,62.45
f.rnd,3,517,25.26265,268,23.96712,177,10x10,OPT,FALSE,equal,62.8,63.91
f.rnd,3,518,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.06,63.21
f.rnd,3,519,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,60.1,60.95
f.rnd,3,52,26.36852,268,25.92469,177,10x10,OPT,FALSE,equal,64.62,65.67
f.rnd,3,520,28.30623,268,27.51425,177,10x10,OPT,FALSE,equal,67.08,67.51
f.rnd,3,521,24.97104,268,24.04747,177,10x10,OPT,FALSE,equal,66.58,67.09
f.rnd,3,522,22.90405,268,22.71351,177,10x10,OPT,FALSE,equal,68.27,68.58
f.rnd,3,523,26.14804,268,25.05966,177,10x10,OPT,FALSE,equal,62.74,64.24
f.rnd,3,524,23.51153,268,22.88539,177,10x10,OPT,FALSE,equal,68.32,68.9
f.rnd,3,525,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.64,62.81
f.rnd,3,526,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.59,63.56
f.rnd,3,527,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.93,62.88
f.rnd,3,528,25.21836,268,23.98202,177,10x10,OPT,FALSE,equal,63.27,64.41
f.rnd,3,529,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.64,62.81
f.rnd,3,53,19.85906,268,20.10696,177,10x10,OPT,FALSE,equal,71.11,71.4
f.rnd,3,530,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.55,62.71
f.rnd,3,531,23.49998,268,22.88269,177,10x10,OPT,FALSE,equal,68.33,68.9
f.rnd,3,532,22.24008,268,21.69461,177,10x10,OPT,FALSE,equal,67.72,68.34
f.rnd,3,533,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.12,62.05
